Date,AAPL,MSFT,NVDA,TSLA,^GSPC
2022-08-18,62290100,17186200,415447000,47500500,3340330000
2022-08-19,70346300,20570000,441588000,61395300,3761340000
2022-08-22,69026800,25061100,409593000,55843200,3907430000
2022-08-23,54147100,17527400,369986000,63984900,3823520000
2022-08-24,53841500,18137000,522661000,57259800,3583630000
2022-08-25,51218200,16583400,770691000,53230000,3566870000
2022-08-26,78961000,27549300,769127000,57163900,3832750000
2022-08-29,73314000,20338500,496132000,41864700,3396510000
2022-08-30,77906200,22767100,530181000,50541800,3835860000
2022-08-31,87991100,24791800,573710000,52107300,4542490000
2022-09-01,74229900,23263400,1178865000,54287000,4152250000
2022-09-02,76957800,22855400,743157000,50890100,3665850000
2022-09-06,73714800,21328200,535751000,55860000,4127340000
2022-09-07,87449600,24126700,512657000,50028900,3890320000
2022-09-08,84923800,20319900,624873000,53713100,3966850000
2022-09-09,68028800,22084700,486612000,54338100,3901940000
2022-09-12,104956000,18747700,484159000,48674600,3814200000
2022-09-13,122656600,33353300,714956000,68229600,4224550000
2022-09-14,87965400,23913000,588507000,72628700,4293240000
2022-09-15,90481100,31530900,523625000,64795500,4441830000
2022-09-16,162278800,39791800,670751000,87087800,7954650000
2022-09-19,81474200,26826900,569685000,60231200,3766850000
2022-09-20,107689800,26660300,524818000,61642800,4058050000
2022-09-21,101696800,28625600,807679000,62555700,4078330000
2022-09-22,86652500,31061200,759162000,70545400,4284600000
2022-09-23,96029900,34176000,663309000,63748400,5144270000
2022-09-26,93339400,27694200,547343000,58076900,4886140000
2022-09-27,84442700,27018700,553854000,61925200,4577740000
2022-09-28,146691400,29029700,542414000,54664800,4684850000
2022-09-29,128138200,27484200,532763000,77620600,4681810000
2022-09-30,124925300,35694800,565638000,67726600,5645360000
2022-10-03,114311700,28880400,547478000,98363500,4806680000
2022-10-04,87830100,34888400,584182000,109578500,5146580000
2022-10-05,79471000,20347100,507131000,86982700,4293180000
2022-10-06,68402200,20239900,644157000,69298400,4252100000
2022-10-07,85925600,37769600,672478000,83916800,4449660000
2022-10-10,74899000,29743600,698699000,67925000,3834320000
2022-10-11,77033700,30474000,667482000,77013200,4759030000
2022-10-12,70433700,21903900,492590000,66860700,4006830000
2022-10-13,113224000,42551800,850103000,91483000,5021680000
2022-10-14,88598000,30198600,713432000,94124500,4243030000
2022-10-17,85250900,28142300,580774000,79428800,4352780000
